| No. | Question                                                                                                  | Trait                                      | What It Measures                                          | Why It’s Good for Roommate Matching                                                              |
| --- | --------------------------------------------------------------------------------------------------------- | ------------------------------------------ | --------------------------------------------------------- | ------------------------------------------------------------------------------------------------ |
| 1   | “Do you like trying new experiences, foods, or activities — or do you prefer routines you already enjoy?” | **Openness**                               | Curiosity, creativity, willingness to explore new things. | Distinguishes adventurous, spontaneous people from those who prefer predictable environments.    |
| 2   | “How do you feel about spontaneous plans or surprises?”                                                   | **Openness**                               | Flexibility and tolerance for novelty.                    | Helps predict compatibility with roommates who plan vs. improvise social activities.             |
| 3   | “Do you like to keep your space organized and plan your day ahead, or do you go with the flow?”           | **Conscientiousness**                      | Discipline, tidiness, self-organization.                  | Essential for predicting cleanliness, time management, and study habits.                         |
| 4   | “How punctual are you for classes or appointments?”                                                       | **Conscientiousness**                      | Reliability and responsibility.                           | Helps avoid pairing highly structured people with chronically late ones.                         |
| 5   | “When you come home after a long day, do you enjoy chatting with roommates or prefer quiet time alone?”   | **Extraversion**                           | Sociability, energy from others vs. solitude.             | Core for balancing social vs. quiet apartment dynamics.                                          |
| 6   | “Would you enjoy hosting small gatherings or prefer a calm apartment?”                                    | **Extraversion**                           | Comfort with social activity in shared spaces.            | Avoids mismatches like a party-lover with a peace-seeker.                                        |
| 7   | “When conflicts arise, do you usually try to find compromise or prefer to stand your ground?”             | **Agreeableness**                          | Cooperation, empathy, conflict resolution style.          | Indicates how well a person navigates shared living disagreements.                               |
| 8   | “Would you describe yourself as easygoing and patient?”                                                   | **Agreeableness**                          | Tolerance, friendliness, emotional warmth.                | Measures general roommate harmony and willingness to adapt.                                      |
| 9   | “When things go wrong (like a noisy neighbor or exam stress), do you get anxious easily or stay calm?”    | **Neuroticism**                            | Emotional stability and stress resilience.                | High neuroticism may clash with calm roommates; helps balance emotional energy in shared spaces. |
| 10  | “How often do you need alone time to recharge?”                                                           | **Neuroticism / Extraversion cross-check** | Balance between social needs and emotional rest.          | Useful for matching introverts who need quiet recharge time vs. extroverts who seek activity.    |
